Datetime;PJM_Load_MW;Weekday;Date;Year;Month;Season;Day;Time;Hour;Minute;Week;DayOfWeek;LeapYear
1998-04-01 00:00:00;2;;;;;;;;;;;;
1998-04-01 01:00:00;2;Wednesday;1998-04-01;1998;4;Spring;1;01:00:00;1;0;14;2;False
1998-04-01 02:00:00;2;Wednesday;1998-04-01;1998;4;Spring;1;02:00:00;2;0;14;2;False
1998-04-01 03:00:00;2;Wednesday;1998-04-01;1998;4;Spring;1;03:00:00;3;0;14;2;False
1998-04-01 04:00:00;2;Wednesday;1998-04-01;1998;4;Spring;1;04:00:00;4;0;14;2;False
1998-04-01 05:00:00;2;Wednesday;1998-04-01;1998;4;Spring;1;05:00:00;5;0;14;2;False
1998-04-01 06:00:00;2;Wednesday;1998-04-01;1998;4;Spring;1;06:00:00;6;0;14;2;False
1998-04-01 07:00:00;3;Wednesday;1998-04-01;1998;4;Spring;1;07:00:00;7;0;14;2;False
1998-04-01 08:00:00;3;Wednesday;1998-04-01;1998;4;Spring;1;08:00:00;8;0;14;2;False
1998-04-01 09:00:00;3;Wednesday;1998-04-01;1998;4;Spring;1;09:00:00;9;0;14;2;False
1998-04-01 10:00:00;3;Wednesday;1998-04-01;1998;4;Spring;1;10:00:00;10;0;14;2;False
1998-04-01 11:00:00;3;Wednesday;1998-04-01;1998;4;Spring;1;11:00:00;11;0;14;2;False
1998-04-01 12:00:00;3;Wednesday;1998-04-01;1998;4;Spring;1;12:00:00;12;0;14;2;False
1998-04-01 13:00:00;3;Wednesday;1998-04-01;1998;4;Spring;1;13:00:00;13;0;14;2;False
1998-04-01 14:00:00;3;Wednesday;1998-04-01;1998;4;Spring;1;14:00:00;14;0;14;2;False
1998-04-01 15:00:00;3;Wednesday;1998-04-01;1998;4;Spring;1;15:00:00;15;0;14;2;False
1998-04-01 16:00:00;3;Wednesday;1998-04-01;1998;4;Spring;1;16:00:00;16;0;14;2;False
1998-04-01 17:00:00;3;Wednesday;1998-04-01;1998;4;Spring;1;17:00:00;17;0;14;2;False
1998-04-01 18:00:00;3;Wednesday;1998-04-01;1998;4;Spring;1;18:00:00;18;0;14;2;False
1998-04-01 19:00:00;3;Wednesday;1998-04-01;1998;4;Spring;1;19:00:00;19;0;14;2;False
1998-04-01 20:00:00;3;Wednesday;1998-04-01;1998;4;Spring;1;20:00:00;20;0;14;2;False
1998-04-01 21:00:00;3;Wednesday;1998-04-01;1998;4;Spring;1;21:00:00;21;0;14;2;False
1998-04-01 22:00:00;3;Wednesday;1998-04-01;1998;4;Spring;1;22:00:00;22;0;14;2;False
1998-04-01 23:00:00;3;Wednesday;1998-04-01;1998;4;Spring;1;23:00:00;23;0;14;2;False
1998-04-02 00:00:00;2;Thursday;1998-04-02;1998;4;Spring;2;00:00:00;0;0;14;3;False
1998-04-02 01:00:00;2;Thursday;1998-04-02;1998;4;Spring;2;01:00:00;1;0;14;3;False
